Accuracy,Precision,Recall,F1,AUC
0.6442307692307693,0.6023238380809596,0.7307692307692308,0.5622796041405984,0.7307692307692308
0.6634615384615384,0.6313923105636432,0.75,0.6015325670498084,0.75
0.5961538461538461,0.6181818181818182,0.7692307692307692,0.5411764705882354,0.7692307692307692
0.5865384615384616,0.6079777365491651,0.730952380952381,0.5337295381086435,0.7309523809523809
0.5865384615384616,0.5939696633370329,0.730072463768116,0.5188811188811189,0.7300724637681159
0.5769230769230769,0.6121687196715192,0.7250936329588016,0.5326797385620914,0.7250936329588014
0.6442307692307693,0.6063829787234043,0.8031914893617021,0.5529220401998374,0.8031914893617021
0.5576923076923077,0.6166666666666667,0.7444444444444445,0.5175473981444131,0.7444444444444445
0.6057692307692307,0.6261595547309833,0.7414772727272727,0.5616325691374524,0.7414772727272727
0.6153846153846154,0.6226415094339622,0.7802197802197802,0.5561246265471618,0.7802197802197802
