Accuracy,Precision,Recall,F1,AUC
0.5298507462686567,0.624515503875969,0.6779162339910003,0.5180131316014844,0.6779162339910004
0.6268656716417911,0.6421875,0.7585227272727273,0.5862154150197628,0.7585227272727273
0.47761194029850745,0.5838178294573644,0.6517543859649123,0.4537619380386676,0.6517543859649123
0.6044776119402985,0.6387387387387388,0.7260550458715597,0.5755184985954216,0.7260550458715596
0.5447761194029851,0.6210131332082551,0.6893577981651376,0.5255122772392176,0.6893577981651376
0.5671641791044776,0.6354530631260191,0.7012807199723088,0.5502314814814815,0.7012807199723088
0.5522388059701493,0.6487154150197628,0.6844362745098039,0.5472972972972974,0.6844362745098039
0.5597014925373134,0.5995916515426497,0.6441707717569787,0.5380660239555946,0.6441707717569787
0.582089552238806,0.638507326007326,0.7291666666666667,0.5568154972832506,0.7291666666666667
0.5223880597014925,0.6521739130434783,0.6981132075471699,0.5171171171171172,0.6981132075471699
