Accuracy,Precision,Recall,F1,AUC
0.5517241379310345,0.59375,0.75,0.49122807017543857,0.75
0.5344827586206896,0.5488095238095239,0.6547169811320754,0.4476190476190476,0.6547169811320754
0.4482758620689655,0.5354037267080746,0.6075471698113208,0.3894736842105263,0.6075471698113208
0.3448275862068966,0.4457070707070707,0.30092592592592593,0.2750000000000001,0.30092592592592593
0.6551724137931034,0.6296296296296297,0.803921568627451,0.5839311334289813,0.803921568627451
0.46551724137931033,0.5496894409937888,0.6282051282051282,0.41528455284552845,0.6282051282051282
0.7931034482758621,0.5897435897435898,0.5583333333333333,0.565,0.5583333333333332
0.29310344827586204,0.5543478260869565,0.6132075471698113,0.2826546003016591,0.6132075471698113
0.5172413793103449,0.5436081242532855,0.6022408963585434,0.4520917678812416,0.6022408963585435
0.6206896551724138,0.5805288461538461,0.7147435897435898,0.5252976190476191,0.7147435897435899
